product_name,manufacturer,lens_type,replacement,est_wholesale_price
Acuvue Oasys 1-Day,J&J Vision,Sphere,Daily,1.22
Acuvue Oasys 1-Day Ast,J&J Vision,Toric,Daily,1.45
Acuvue Moist MF,J&J Vision,Multifocal,Daily,1.5
Dailies Total1,Alcon,Sphere,Daily,1.28
Dailies Total1 Toric,Alcon,Toric,Daily,1.52
Air Optix plus HG,Alcon,Sphere,Monthly,5.83
Air Optix for Ast,Alcon,Toric,Monthly,7.17
Air Optix MF,Alcon,Multifocal,Monthly,8.83
Biotrue ONEday,Bausch + Lomb,Sphere,Daily,0.83
Biotrue ONEday Ast,Bausch + Lomb,Toric,Daily,1.0
Ultra,Bausch + Lomb,Sphere,Monthly,5.5
Ultra for Astigmatism,Bausch + Lomb,Toric,Monthly,6.67
